Index,Offence,Description of offence,Section on Principal Enactment,Fine
o1,Identification Plates/ On every motor vehicle there shall be fixed and maintained two identification plates each bearing the distinctive number of that motor vehicle,"On every motor vehicle there shall be fixed and maintained two 
identification plates each bearing the distinctive number of that motor 
vehicle as assigned to it by the Commissioner-General: 
Provided that in lieu of either or both of such plates a design or 
designs, conforming in every respect to the requirements of this Part 
as to identification plates, may be painted or otherwise delineated on 
any motor vehicle; and any reference in this Act to, or to the fixing of 
an identification plate shall be deemed to include a reference, as the case 
may be, to or to the painting or to the delineation of, such a design. ",21,1000
o2,Not carrying Revenue license,Not carrying Revenue license,,1000
o3,Contravening revenue license provisions,Contravening revenue license provisions,,1000
o4,Driving emergency service vehicles and public service vehicles without driving license,"(1) No person, who is the holder of a driving licence valid for any 
class or classes of motor vehicles shall drive any emergency 
service vehicle or public service vehicle on any road unless he is 
specifically authorized to do so by a special endorsement of the 
Commissioner - General on his driving licence. 
(2) A person wishing to drive an emergency service vehicle or a 
public service vehicle on any road shall make application to the 
Commissioner - General on the prescribed form accompanied 
by the prescribed levy. 
(3) The Minister may prescribe by regulations, the requirements, 
qualifications and tests necessary to qualify for an endorsement 
on a Driving Licence authorizing a Licence holder to drive an 
emergency service vehicle or public service vehicle, as the 
case may be. ",128.A,1000
o5,Driving special purpose vehicles without a license,"(1) A person wishing to drive a special purpose vehicle shall make application for a licence for that purpose to the Commissioner- General in the prescribed form accompanied by the prescribed levy. (2) The Minister may make regulations prescribing the requirements to be satisfied, the qualifications necessary and the tests to be conducted for the purpose of determining whether a person qualifies to drive a special purpose vehicle.",128.B,1000
o6,Driving a vehicle loaded with chemicals/hazardous  waste without a license,"(1) A person who intends to drive a motor vehicle with chemicals, hazardous waste, petroleum products, gas or other dangerous goods, shall make an application to the Commissioner General in the prescribed form for a Driving Licence in a class referred to in item 2(ii), 4(i), 4(ii) or 5 of the Schedule to section 122, as may be 
applicable, together with the prescribed fee. 
(2) The Minister may prescribe by regulations, the qualifications 
necessary and the tests to be conducted to determine whether a 
person is fit to drive a motor vehicle referred to in subsection (1). ",128.C,1000
o7,Not having a license to a specific class of vehicles,".(1) Notwithstanding anything contained in this Part, the Commissioner-General may in his discretion issue to any person a driving licence expressed to be valid for a specified motor vehicle or for motor vehicles of any specified weight or description. (2) No person who Is the holder of a driving licence issued under subsection (1) shall drive on a road any motor vehicle other than the motor vehicle specified in that licence or a motor vehicle of the weight or description specified in that licence, as the case may be: Provided, however, that any person who is the holder of a driving licence expressed to be valid for any class of motor vehicles, other than invalid carriages, shall be entitled to drive a hand tractor.",130,1000
o8,Not carrying Driving License when driving,"(1) The driver of a motor vehicle shall always carry his driving licence on his person or in the motor vehicle and shall, when on demand made by a police officer, forthwith produce the licence and permit it to be inspected. Provided, however, that no person shall be deemed to have contravened the provisions of this subsection, if he proves to the satisfaction of the court that his licence had at the time of the alleged contravention been forwarded to the Commissioner- General for an extension of its validity, replacement, renewal or additional endorsement. (1A) Any person who fails to carry a valid Learner's Permit and Driving Licence including the endorsement form while driving a motor vehicle shall be guilty of an offence and shall on conviction be liable to a fine not less than two thousand five hundred rupees and not exceeding five thousand rupees. (1B) Where a driver of a motor vehicle does not possess a valid Learner's Permit and Driving Licence a police officer may detain such driver of the motor vehicle until such driver produces a valid Learner's Permit and Driving Licence. Where it is found that such driver does not hold a valid Learner's Permit and Driving Licence, such driver and owner of the motor vehicle shall be guilty of an offence and shall be liable to a fine not less than three thousand rupees and not exceeding six thousand rupees and to imprisonment of either description for a term of six months: Provided however that the owner of such motor vehicle shall not be deemed to be guilty of an offence if he proves to the satisfaction of the Court that the vehicle was removed by such driver without his knowledge. (1C) (a) Where the driver of a motor vehicle wilfully refuses to produce the Learner's Permit and Driving Licence on demand by a police officer, such police officer may take such driver and the vehicle into custody and produce such driver at the nearest police station for the purpose of investigation. (b) Any person who wilfully refuses to produce the learner's permit or driving licence or endorsement form on demand by a police officer shall be guilty of an offence and shall on conviction before a Magistrate be liable to a fine not less than five thousand rupees and not exceeding ten thousand rupees: Provided however, that no person shall be deemed to be guilty of an offence under this section, if he proves to the satisfaction of the court that his learner's permit or driving licence had at the time of the alleged contravention, been forwarded to the Commissioner- General for an additional endorsement or for an extension of its validity, or for replacement or renewal. (1D) (a) No person shall drive a motor vehicle carrying or possessing a learner's permit or driving licence which is faded, defaced, damaged, or obscure. (b) Any person who contravenes the provisions of paragraph (a) shall be guilty of an offence under this Act and shall on conviction be liable to the penalty specified in section 224 (2) Every holder of a driving licence who is charged before any court with any offence under this Act, or with any offence under any other written law committed in connexion with the driving of a motor vehicle, shall take the licence with him to the court and shall, if he is convicted of the offence, forthwith produce the licence to the court for the purpose of endorsement under section 136. (3) Where a driving licence is not produced in accordance with the provisions of subsection (2), the court may make order disqualifying the holder of that licence for driving a motor vehicle until the licence is produced to the court. (4) Where a driving licence is produced to a police officer at any investigation made by him into an offence alleged to have been committed in connexion with the driving of a motor vehicle by the person who is the holder of the licence, the police officer may take charge of such licence for the time being and issue to such person a permit under his hand, in the prescribed form and setting out the prescribed particulars. (5) A permit issued under subsection (4) shall be deemed to be sufficient authority for the person to whom it is issued to drive a motor vehicle, notwithstanding that he is not in possession of a driving licence, for such period not exceeding sixty days as may be specified in the permit by the police officer, and for such further period or periods as the court before which he is charged, may cause to be specified by endorsement made on the permit. (6) Every driving licence taken by a police officer under subsection (4) shall- (a) where it is subsequently decided that no charge should be preferred against the holder thereof, be returned to him within a week after such decision is taken ; or (b) where a charge is preferred, be returned to him, unless it is cancelled or suspended by the court, within a week after the final disposal of the charge.",135,1000
o9,Not having an instructor's license,"(1) No person shall, on or after the relevant date, as a driving instructor except under the authority, and in accordance with the terms and conditions, of a licence (hereinafter referred to as an 'instructor's licence') issued in that behalf by the Commissioner- General under this Part and for the time being in force. (2) Any person who contravenes the provisions of subsection(1) shall be guilty of an offence and shall, on conviction be liable to a fine not less than five thousand rupees and not exceeding ten thousand rupees or to imprisonment of either description for a term not exceeding six months or to both such fine and imprisonment and on a second or subsequent conviction to a fine not less than fifteen thousand rupees and not exceeding twenty five thousand rupees or to imprisonment of either description for a term not exceeding one year or to both such fine and imprisonment.",139.A,2000
o10,Contravening speed limits,"(1) A motor vehicle shall not be driven at a speed greater than the speed limits prescribed by regulations. (2) The provisions of subsection (1) shall not apply to a motor ambulance, firefighting vehicle or police vehicle while on pursuit when used for an emergency purpose.",140,3000
