c1,c2,c3,c4,c5,c6
"Contravention of Act, regulation, order &c",214,1,,,"Any person-(a) who contravenes any provision of this Act or any regulation, or fails to comply with any order, direction, demand, requirement or notice lawfully issued, made or given under any provision of this Act or any regulation; or(b) who, being holder of any permit or licence granted or issued under this Act, fails to comply with any condition attached to that permit or licence, as the case may be, shall be guilty of an offence under this Act."
"Contravention of Act, regulation, order &c",214,1,a,,"who contravenes any provision of this Act or any regulation, or fails to comply with any order, direction, demand, requirement or notice lawfully issued, made or given under any provision of this Act or any regulation; or"
"Contravention of Act, regulation, order &c",214,1,b,,"who, being holder of any permit or licence granted or issued under this Act, fails to comply with any condition attached to that permit or licence, as the case may be, shall be guilty of an offence under this Act."
"Contravention of Act, regulation, order &c",214,2,,,"Where a motor vehicle is used, or where anything is done or omitted to be done in connexion with a motor vehicle, in contravention of any provision of this Act or any regulation-(a) the person, if any, on whom a duty or prohibition, or the liability in respect of such contravention, is imposed by such provision or regulation, shall be guilty of an offence under this Act; and(b) the driver and the owner of the motor vehicle shall also be guilty of an offence under this Act, notwithstanding that a duty or prohibition, or the liability in respect of such contravention is not expressly imposed by such provision or regulation on the driver or the owner:Provided, however, that-(i) the driver shall not under paragraph (b) be deemed to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was not due to any act, omission, default or neglect on his part;(ii) the owner, if he was not present in the motor vehicle at the time of such contravention, shall not be deemed under paragraph (b) to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was committed without his consent or was not due to any act or omission on his part or that he had taken reasonable precautions to prevent such contravention;(iii) the owner shall not, in the case of a contravention of any provision of Part VIII or of any regulation made under section 190 (other than a provision or regulation by which a duty, prohibition or liability is expressly imposed on the owner) be deemed under paragraph (b) to be guilty of an offence under this Act unless he aided and abetted such contravention."
"Contravention of Act, regulation, order &c",214,2,a,,"the person, if any, on whom a duty or prohibition, or the liability in respect of such contravention, is imposed by such provision or regulation, shall be guilty of an offence under this Act; and"
"Contravention of Act, regulation, order &c",214,2,b,,"the driver and the owner of the motor vehicle shall also be guilty of an offence under this Act, notwithstanding that a duty or prohibition, or the liability in respect of such contravention is not expressly imposed by such provision or regulation on the driver or the owner:"
"Contravention of Act, regulation, order &c",214,2,b,,"Provided, however, that-(i) the driver shall not under paragraph (b) be deemed to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was not due to any act, omission, default or neglect on his part;(ii) the owner, if he was not present in the motor vehicle at the time of such contravention, shall not be deemed under paragraph (b) to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was committed without his consent or was not due to any act or omission on his part or that he had taken reasonable precautions to prevent such contravention;(iii) the owner shall not, in the case of a contravention of any provision of Part VIII or of any regulation made under section 190 (other than a provision or regulation by which a duty, prohibition or liability is expressly imposed on the owner) be deemed under paragraph (b) to be guilty of an offence under this Act unless he aided and abetted such contravention."
"Contravention of Act, regulation, order &c",214,2,i,i,"the driver shall not under paragraph (b) be deemed to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was not due to any act, omission, default or neglect on his part;"
"Contravention of Act, regulation, order &c",214,2,i,ii,"the owner, if he was not present in the motor vehicle at the time of such contravention, shall not be deemed under paragraph (b) to be guilty of an offence under this Act, if he proves to the satisfaction of the court that the contravention was committed without his consent or was not due to any act or omission on his part or that he had taken reasonable precautions to prevent such contravention;"
"Contravention of Act, regulation, order &c",214,2,i,iii,"the owner shall not, in the case of a contravention of any provision of Part VIII or of any regulation made under section 190 (other than a provision or regulation by which a duty, prohibition or liability is expressly imposed on the owner) be deemed under paragraph (b) to be guilty of an offence under this Act unless he aided and abetted such contravention."
"Penalty for causing death or injury to persons by driving motor vehicles after consumption of alcohol or drugs.[4,31 of 1979.]",216B,2,a,,"where he causes death to any person, to imprisonment of either description for a term not less than two years and not exceeding ten years and to the cancellation of his driving licence;"
"Penalty for causing death or injury to persons by driving motor vehicles after consumption of alcohol or drugs.[4,31 of 1979.]",216B,2,b,,"where he causes injury to any person, to a fine not less than five thousand rupees or to imprisonment of either description for a term not exceeding five years or to both such fine and imprisonment and to the cancellation of his driving licence."
Penalty for driving recklessly or dangerously.,217,1,,,"Any person who is guilty of the offence of contravening the provisions of section 151 (2) shall, on conviction .after summary trial before a Magistrate, be liable to a fine not exceeding five hundred rupees, and on a second or subsequent conviction, to a like fine or to rigorous imprisonment for a term not exceeding six months or to both such fine and imprisonment."
Penalty for driving recklessly or dangerously.,217,2,,,"Any person who is guilty of the Penalty for offence of contravening the provisions of driving section 151 (3) shall, on conviction after summary trial before a Magistrate, be liable to a fine not exceeding two hundred rupees."
Penalty for giving false information.,219,2,a,,in or in connexion with any application-(i) for the registration of a motor vehicle or a revenue licence for a motor vehicle ; or(ii) for a driving licence or for the extension of the validity of such driving licence ; or(iii) for a conductor's licence or any other licence required by any regulation or any renewal thereof; or(iv) for any alteration or correction of any such licence ; or
Penalty for giving false information.,219,2,i,i,for the registration of a motor vehicle or a revenue licence for a motor vehicle ; or
Penalty for giving false information.,219,2,i,ii,for a driving licence or for the extension of the validity of such driving licence ; or
Penalty for giving false information.,219,2,i,iii,for a conductor's licence or any other licence required by any regulation or any renewal thereof; or
Penalty for giving false information.,219,2,i,iv,for any alteration or correction of any such licence ; or
Penalty for giving false information.,219,2,b,,in or in connexion with any application made under Part IV or Part V ; or
