part_name,c1,c2,c3,c4,c5,c6
part1,Motor vehicles not to be possessed or used without registration.,2,1,,,"No person shall possess or use a motor vehicle unless that vehicle is registered, and the person for the time being entitled to the possession of the vehicle is registered as the owner thereof, in accordance with the provisions of this Part."
part1,Motor vehicles not to be possessed or used without registration.,2,2,,,The possession by a dealer of a motor vehicle imported by him into Sri Lanka for the purposes of sale shall be deemed not to be a contravention of subsection (1) so long as the vehicle remains unsold and is not used on any highway.
part1,Motor vehicles not to be possessed or used without registration.,2,3,,,"The possession or use of a motor vehicle by a person for the time being entitled to the possession thereof shall be deemed not to be a contravention of subsection (1), if, but only if, the motor vehicle is lawfully used under the authority of a dealer's licence issued under Part III and is identified by a distinctive number assigned for the purpose."
part1,Motor vehicles not to be possessed or used without registration.,2,4,,,"The possession of a motor vehicle by a person (not being a dealer) by whom the vehicle was imported into Sri Lanka shall be deemed not to be a contravention of subsection (1), if, but only if, that person has made application for the registration of that vehicle and such application has not been finally determined."
part1,Motor vehicles not to be possessed or used without registration.,2,5,,,The use of a motor vehicle which upon importation into Sri Lanka is used on a highway only for the purpose and in the course of removal from the customs premises shall be deemed not to be a contravention of subsection (1).
part1,Motor vehicles not to be possessed or used without registration.,2,6,,,The use of a motor vehicle while it is being driven to or from any place specified by the Registrar for the purpose of inspection or while it is being tested by the direction of the Registrar for the purpose of registration shall be deemed not to be a contravention of subsection (1)
part1,Motor vehicles not to be possessed or used without registration.,2,7,,,The use of a motor vehicle under the authority of a visitor's temporary licence issued under Part III shall be deemed not to be a contravention of subsection (1).
part1,Motor vehicles not to be possessed or used without registration.,2,8,,,"The possession or use by the Sri Lanka Central Transport Board or any Regional Transport Board established under the Transport Board Law of a motor coach, hiring car or a lorry shall be deemed not to be a contravention of subsection (1) so long as that coach or car or lorry is not used on any highway for the carriage of persons or goods for fee or reward."
part1,Motor vehicles not to be registered unless they comply with certain requirements,3,1,,,"No motor vehicle shall be registered unless that vehicle complies with all the provisions of regulations made under this Act as to the construction, weight, dimensions and equipment of motor vehicles which are applicable to vehicles of the class or description to which that vehicle belongs."
part1,Motor vehicles not to be registered unless they comply with certain requirements,3,2,,,No motor vehicle shall be registered as a private car or a hiring car if the tare of that vehicle exceeds two and one-half tons.
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,,,No motor registered unless the person for the time being entitled to the possession of that motor coach is the holder of-(a) a stage carriage permit for a regular omnibus service; or(b) a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or(c) a private coach permit for that motor coach.
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,a,,a stage carriage permit for a regular omnibus service; or
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,b,,a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,c,,a private coach permit for that motor coach.
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,2,,,No person shall be registered as the owner of a motor coach unless he is the holder of-(a) a stage carriage permit for a regular omnibus service; or(b) a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or(c) a private coach permit for that motor coach.
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,2,a,,a stage carriage permit for a regular omnibus service; or
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,2,b,,a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or
part1,Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,2,c,,a private coach permit for that motor coach.
part1,Description of motor vehicles upon registration.,5,1,,,"A motor car which is to be registered under this Part-(a) shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons otherwise than for fee or reward, be registered as a private car; or(b) shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons for fee or reward, be registered as a hiring car."
part1,Description of motor vehicles upon registration.,5,1,a,,"shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons otherwise than for fee or reward, be registered as a private car; or"
part1,Description of motor vehicles upon registration.,5,1,b,,"shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons for fee or reward, be registered as a hiring car."
part1,Description of motor vehicles upon registration.,5,2,,,"A motor coach which is to be registered under this Part-(a) shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons otherwise than for fee or reward, be registered as a private coach ; or(b) shall, if it is stated by the applicant for registration to be intended for the carriage of persons for fee or reward, be registered as an omnibus."
part1,Description of motor vehicles upon registration.,5,2,a,,"shall, if it is stated by the applicant for registration to be intended for use for the carriage of persons otherwise than for fee or reward, be registered as a private coach ; or"
part1,Description of motor vehicles upon registration.,5,2,b,,"shall, if it is stated by the applicant for registration to be intended for the carriage of persons for fee or reward, be registered as an omnibus."
part1,Description of motor vehicles upon registration.,5,3,,,"A motor vehicle which is to be registered under this Part and which is, within the meaning of this Act, a lorry, motor cycle, motor ambulance, motor hearse, or invalid carriage, or a land vehicle, as the case may be, shall be registered as such."
part1,Register of motor vehicles.,6,3,a,,"The Registrar shall keep a register of all motor vehicles registered under this Act and shall enter or cause to be entered therein, in the prescribed form particulars relating to each such vehicle."
part1,Register of motor vehicles.,6,3,b,,Regulations may be made requiring the Registrar to keep separate registers of different classes of motor vehicles or of motor vehicles intended to be usually kept or used in different areas.
part1,Application for registration.,7,1,,,"Every application for the registration of a motor vehicle shall be made to the Registrar substantially in the prescribed form, shall be signed by the person for the time being entitled to the possession of the motor vehicle, and shall set out all particulars relating to that motor vehicle in respect of such of the matters specified in that form as may be applicable to that motor vehicle."
part1,Application for registration.,7,2,,,"Every applicant for the registration of a motor vehicle, other than a motor cycle, shall, if required to do so by the Registrar, furnish proof of the weight of the motor vehicle to the satisfaction of the Registrar."
part1,Application for registration.,7,3,,,"Notwithstanding anything in subsection (1) to the contrary, any dealer in motor vehicles, who is authorized in writing for the purpose by a person who is absent from Sri Lanka, may make application on behalf of that person for the registration of a motor vehicle, and in any such case the application shall for the purposes of this section and of section 9 (1) be deemed to have been signed and made by that person."
part1,Application for registration.,7,4,,,"The application for the registration of a motor vehicle which is let under a hire- purchase agreement shall be forwarded to the Registrar by the person who so let that vehicle. Every such application shall be accompanied by a statement in the prescribed form, and by the prescribed fee for the entry in the register, as required by subsection (5) of section 9 of the name of that person as the absolute owner thereof."
part1,Registration Fee,8,,,,No motor vehicle shall be registered except upon payment of the prescribed fee(See also section 2 of the Sri Tax Law)
part1,Distinctive number and certificate of registration.,9,1,,,"Upon the registration of a motor vehicle, the Registrar shall-(a) assign to the motor vehicle a number or a combination of one or more letters and one or more numbers (in this Act referred to as a "" distinctive number ""); and(b) register the person by whom the application for registration was made, as the owner of the vehicle; and(c) issue to that person a certificate of registration in the prescribed form."
part1,Distinctive number and certificate of registration.,9,1,a,,"assign to the motor vehicle a number or a combination of one or more letters and one or more numbers (in this Act referred to as a "" distinctive number ""); and"
part1,Distinctive number and certificate of registration.,9,1,b,,"register the person by whom the application for registration was made, as the owner of the vehicle; and"
part1,Distinctive number and certificate of registration.,9,1,c,,issue to that person a certificate of registration in the prescribed form.
part1,Distinctive number and certificate of registration.,9,2,,,"Where the ownership of a motor vehicle (other than a motor vehicle which is let under a hire-purchase agreement) is claimed by two or more persons, the Registrar shall register as the owner of the vehicle-(a) such one of those persons as may be nominated by them for the purpose of such registration ; or(b) in the event of any dispute between those persons, such one of them as may be selected for the purpose by the Registrar after such inquiry as he may deem necessary : Provided that nothing in the preceding provisions of this subsection shall be deemed or construed to authorize the Registrar to register a person as owner of a motor coach in contravention of the provisions of section 4."
part1,Distinctive number and certificate of registration.,9,2,a,,such one of those persons as may be nominated by them for the purpose of such registration ; or
part1,Distinctive number and certificate of registration.,9,2,b,,"in the event of any dispute between those persons, such one of them as may be selected for the purpose by the Registrar after such inquiry as he may deem necessary :"
part1,Distinctive number and certificate of registration.,9,2,b,,Provided that nothing in the preceding provisions of this subsection shall be deemed or construed to authorize the Registrar to register a person as owner of a motor coach in contravention of the provisions of section 4.
part1,Distinctive number and certificate of registration.,9,3,,,"In any case referred to in subsection (2), the Registrar may also enter in the register the names of the other claimants to the ownership of the vehicle, but no such entry of the name of any claimant shall be deemed to affect any liability which the person registered as the owner may incur under any of the provisions of this Act or to vest in such claimant any of the rights or powers conferred by this Act upon the registered owner of a motor vehicle."
part1,Distinctive number and certificate of registration.,9,4,,,"The decision of the Registrar under paragraph (b) of subsection (2) shall be final and conclusive for the purposes of this Act; but shall not be deemed to prejudice or to affect in any way the right of the other claimants to the ownership of the vehicle to cause their claim to be determined by an action at law, and the final determination in any such action shall be binding upon the Registrar."
part1,Distinctive number and certificate of registration.,9,5,,,"At the time of the registration of a motor vehicle which is let under a hire- purchase agreement, the Registrar shall also enter in the register the name of the person who so let the vehicle as the absolute owner thereof, but no such entry of the name of any person as absolute owner shall be deemed-(a) to affect any liability which the person registered as the owner may incur under any of the provisions of this Act; or(b) to vest in the person whose name is so entered as absolute owner any of the rights or powers conferred by this Act upon the registered owner of a vehicle; or(c) to prejudice or to affect in any way the right of any other person who claims to be the owner of the vehicle to cause his claim to be determined by an action at law and thereupon to require alteration of the register in accordance with the final determination in such action."
part1,Distinctive number and certificate of registration.,9,5,a,,to affect any liability which the person registered as the owner may incur under any of the provisions of this Act; or
part1,Distinctive number and certificate of registration.,9,5,b,,to vest in the person whose name is so entered as absolute owner any of the rights or powers conferred by this Act upon the registered owner of a vehicle; or
