c1,c2,c3,c4,c5,c6
Short title.,1,,,,This Act may be cited as the Motor Traffic Act.
Motor vehicles not to be possessed or used without registration.,2,1,,,"No person shall possess or use a motor vehicle unless that vehicle is registered, and the person for the time being entitled to the possession of the vehicle is registered as the owner thereof, in accordance with the provisions of this Part."
Motor vehicles not to be possessed or used without registration.,2,2,,,"The possession by a dealer or a manufacturer of an unregistered motor vehicle for the purposes of sale shall be deemed not to be a contravention of subsection (1) so long as the vehicle remains unsold and is not used on any road except under the authority of a dealer's licence or manufacturer's licence as the case may be, issued under Part III and is identified by a distinctive number assigned for that purpose by the Commissioner-General."
Motor vehicles not to be possessed or used without registration.,2,3,,,"The possession or use of a motor vehicle by a person for the time being entitled to the possession thereof shall be deemed not to be a contravention of subsection (1), if, but only if, the motor vehicle is lawfully used under the authority of a dealer's licence issued under Part III and is identified by a distinctive number assigned for the purpose"
Motor vehicles not to be possessed or used without registration.,2,4,,,"(1)Â Â  The possession of a motor vehicle by a person (not being a manufacturer or a dealer) by whom the vehicle was imported into Sri Lanka shall be deemed not to be a contravention of subsection (1), if, but only if, that person has made application for the registration of that vehicle and while the application is pending, its use is authorized by the Commissioner-General under section 18"
Motor vehicles not to be possessed or used without registration.,2,5,,,"The use of a motor vehicle which upon importation into Sri Lanka is used on a road only for the purpose of and in the course of removal from the Customs premises or for the purpose of installing any equipment or which is being driven to or from any place specified by the Commissioner- General for the purpose of testing or registration, shall be deemed not to be a contravention of subsection (1), provided it is used under the authority of a dealer's licence or temporary permit issued for the purposes of this subsection by the Commissioner-General valid for a period of seven days."
Motor vehicles not to be possessed or used without registration.,2,6,,,The use of a motor vehicle while it is being driven to or from any place specified by the Commissioner-General for the purpose of inspection or while it is being tested by the direction of the Commissioner-General for the purpose of registration shall be deemed not to be a contravention of subsection (1).
Motor vehicles not to be possessed or used without registration.,2,7,,,The use of a motor vehicle under the authority of a visitor's temporary licence issued under Part III shall be deemed not to be a contravention of subsection (1).
Motor vehicles not to be possessed or used without registration.,2,8,,,"The possession or use by the Sri Lanka Central Transport Board or any Regional Transport Board established under the Transport Board Law of a motor coach, hiring car or a motor lorry shall be deemed not to be a contravention of subsection (1) so long as that coach or car or motor lorry is not used on any road for the carriage of persons or goods for fee or reward"
Motor vehicles not to be possessed or used without registration.,2,9,,,The possession of a motor vehicle under the provisions of the proviso to section 12 (2) shall be deemed not to be a contravention of subsection (1) of this section so long as the vehicle remains under the contract of rental or hiring;
Motor vehicles not to be possessed or used without registration.,2,10,,,A person who contravenes the provisions of subsections (1) or (5) of this section shall be guilty of an offence and shall on conviction be liable to a fine not less than two thousand five hundred rupees and not exceeding five thousand rupees and on a second conviction to a fine not less than five thousand rupees and not exceeding ten thousand rupees and on a third or subsequent conviction to a fine not less than ten thousand rupees and not exceeding fifteen thousand rupees.
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,,,No person shall knowingly use a motor vehicle -
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,a,,"that has been manufactured, assembled, fabricated, innovated, adapted, modified, or the construction of which has been changed illegally or otherwise than in conformity with the prototype approved by the Commissioner-General;"
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,b,,that has been assembled otherwise than with branded new parts or without the permission of the manufacturer of those parts;
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,c,,that is mechanically defective;
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,d,,that fails to comply with prescribed standards of safety;
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,e,,that is stolen;
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,f,,that has a false identity;
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,g,,the chassis number of which has been tampered with; or
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,1,h,,"which has been manufactured, assembled, fabricated, adapted, modified, or the construction of which has been changed in any manner, without the prior written approval of the Commissioner-General."
"Motor vehicle fabricated unlawfully and,.. not to be used.",2A,2,,,A person who contravenes the provisions of section 2A shall be guilty of an offence and shall on conviction be liable to a fine not less than fifty thousand rupees and not exceeding one hundred thousand rupees or to imprisonment of either description for a term of one month or to both such fine and imprisonment and on a second conviction to a fine not less than one hundred thousand rupees and not exceeding two hundred thousand rupees or to imprisonment for a term of two months or to both such fine and imprisonment and on a third or subsequent conviction to a fine not less than two hundred thousand rupees and not exceeding three hundred thousand rupees or to imprisonment for a term of six months or to both such fine and imprisonment and confiscation of the vehicle.
Motor vehicles not to be registered unless they comply with certain requirements.,3,1,,,"No motor vehicle shall be registered unless that vehicle conforms to the provisions of this Act and regulations made hereunder in regard to the construction, weight, dimensions and equipment of motor vehicles of the class or description to which that vehicle belongs."
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,,,The Commissioner-General shall not register any motor vehicle -
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,,if he has reason to believe -
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,i,"that it has been manufactured, assembled, fabricated, innovated, adapted, modified, or its construction changed, illegally or otherwise than in conformity with the prototype approved by the Commissioner-General ;"
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,ii,that it has been assembled otherwise than with branded new parts or without the permission of the manufacturer of those parts;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,iii,that it is mechanically defective;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,iv,that it fails to comply with prescribed standards of safety;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,v,that it is stolen
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,vi,that the identity of the vehicle is false or in doubt;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,vii,that the chassis number has been tampered with;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,viii,"that the applicant for registration of the vehicle has failed to furnish particulars of a previous registration, if any;"
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,ix,that the applicant has furnished inaccurate particulars in the application for registration of the vehicle; or
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,a,x,that the vehicle has been imported with forged documents or that the application for registration contains a forged signature or is accompanied by forged documents;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,b,,where the motor vehicle comprises features which -
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,b,i,are not in accordance with the particulars contained in the application;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,b,ii,"are not in his opinion roadworthy or are by reason of its design, construction or any condition thereof or any equipment thereof are not in compliance with the provisions of this Act;"
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,b,iii,require the prior written approval of the Commissioner- General for the import thereof and has been imported without obtaining such approval;
Motor vehicles not to be registered unless they comply with certain requirements.,3,2,b,iv,"have been manufactured, assembled, fabricated, adapted, modified or the construction of which has been changed in any manner, without the prior written approval of the Commissioner-General."
Motor vehicles not to be registered unless they comply with certain requirements.,3,3,,,The decision of the Commissioner-General not to register a motor vehicle by reason of his findings under paragraphs (a) or (b) shall be final.
Motor vehicles not to be registered unless they comply with certain requirements.,3,4,,,"No person under the age of eighteen years shall be registered as the owner of a motor vehicle: Provided however, that a person under the age of eighteen years may be registered as the beneficial owner of a motor vehicle in which event the parent or guardian of such person shall be registered as the owner thereof."
Motor vehicles not to be registered unless they comply with certain requirements.,3,5,,,"Any person who submits an application for registration, which contains a forged signature or is accompanied by forged documents shall be guilty of an offence and shall on conviction be liable to a fine not less than ten thousand rupees and not exceeding fifteen thousand rupees."
