c1,c2,c3,c4,c5,c6
Motor vehicles not to be repossessed or used without revenue license.,25,1,,,No person shall possess or use a motor vehicle for which a revenue licence is not in force.
Motor vehicles not to be repossessed or used without revenue license.,25,2,,,"The person who for the time being is, or is deemed under Part I to be, the registered owner of a motor vehicle shall, for the purposes of subsection (1), be presumed, unless the contrary is proved, to possess that vehicle."
Motor vehicles not to be repossessed or used without revenue license.,25,3,,,The possession by a dealer of a motor vehicle imported by him into Sri Lanka for the purposes of sale shall be deemed not to be a contravention of subsection (1) so long as the vehicle remains unsold and is not used on any highway except under the authority of a dealer's licence.
Motor vehicles not to be repossessed or used without revenue license.,25,4,,,"The possession of a motor vehicle by a person for the time being entitled to the possession thereof shall be deemed not to be a contravention of subsection (1), if, but only if, the motor vehicle is lawfully used under the authority of a dealer's licence and is identified by a distinctive number assigned for the purpose."
Motor vehicles not to be repossessed or used without revenue license.,25,5,,,"The possession of a motor vehicle by a person (not being a dealer) by whom the vehicle was imported into Sri Lanka shall be deemed not to be a contravention of subsection (1), if, but only if, that person has applied for a revenue licence and such application has not been finally determined."
Motor vehicles not to be repossessed or used without revenue license.,25,6,,,The use of a motor vehicle which upon importation into Sri Lanka is used on a highway only for the purpose and in the course of removal from the customs premises shall be deemed not to be a contravention of subsection (1).
Motor vehicles not to be repossessed or used without revenue license.,25,7,,,"The possession by a person of a motor vehicle in respect of which notice of a period of non-user has been given under section 37 shall be deemed not to be a contravention of subsection (1), if, but only if, the motor vehicle is not used in any place during that period."
Motor vehicles not to be repossessed or used without revenue license.,25,8,,,"Where notice of a period of non-user has been given under section 37 in respect of any motor vehicle, the Registrar may in his discretion issue a permit authorizing the removal of the motor vehicle on a specified date from a specified place to any other specified place for the purpose of repairs or for the purpose of compliance with any provision of this Act; and the use of that motor vehicle for the purpose of such removal in accordance with a permit so issued shall be deemed not to be a contravention of subsection (1)."
Motor vehicles not to be repossessed or used without revenue license.,25,9,,,"On any change of possession of a lorry, the possession of the lorry by the new owner shall be deemed not to be a contravention of subsection (1), if, but only If, he has applied for a new revenue licence in accordance with the provisions of section 41 and the application has not been finally determined, or he has given notice of a period of non-user under section 37."
Motor vehicles not to be repossessed or used without revenue license.,25,10,,,"The possession or use by the Sri Lanka Central Transport Board or any Regional Transport Board established under the Transport Board Law of a motor coach, a hiring car, or a lorry shall be deemed not to be a contravention of subsection (1) so long as that coach, hiring car or lorry is not used on the highway for the carriage of passengers or goods for fee or reward."
Classes or descriptions of revenue licences.,26,1,,,"A revenue licence to be issued under this Part for a motor vehicle shall be a licence of one of the following descriptions, that is to say, a private car licence, a hiring car licence, a private coach licence, an omnibus licence, a lorry licence, a motor cycle licence, a motor hearse licence, a motor ambulance licence, an invalid carriage licence, or a land vehicle licence, and shall be issued having regard to the class or description of motor vehicles to which that vehicle belongs."
Classes or descriptions of revenue licences.,26,2,,,"Nothing in subsection (1) shall be deemed to affect or restrict the issue of dealer's licences under section 42, or of visitor's temporary licences under section 44."
Production of certificate of registration and certificate of insurance security.,27,1,,,"No revenue licence for any motor vehicle shall be issued by any licensing authority unless the certificate of or registration relating to that vehicle is produced and unless the name of that authority is contained in the certificate, and unless the particulars contained in the application for the licence are identical with the corresponding particulars contained in the certificate:"
Production of certificate of registration and certificate of insurance security.,27,1,,,"Provided, however, that the licensing authority may, if he thinks fit, dispense with the production of the certificate of registration in the case of any motor vehicle, other than a motor coach or hiring car or lorry, for which a revenue licence in respect of any year is to be issued to any person to whom a revenue licence for that motor vehicle in respect of the preceding year has been issued by that authority."
Production of certificate of registration and certificate of insurance security.,27,2,,,"No revenue licence for any motor vehicle, other than a trailer, shall be issued by any licensing authority unless a certificate of insurance or a certificate of security, in conformity with the requirements of Part VI and relating to that vehicle, is produced to that authority by the applicant."
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,1,,,No omnibus licence shall be issued under this Part except for an omnibus the registered owner of which is the holder of-(a) a stage carriage permit for a regular omnibus service;(b) a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services.
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,1,a,,a stage carriage permit for a regular omnibus service;
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,1,b,,a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services.
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,2,,,No private coach licence shall be issued under this Part except for a private coach the registered owner of which is the holder of a private coach permit authorizing the use of that coach.
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,3,,,No lorry licence shall be issued under this Part except for a lorry the registered owner of which is the holder of a permit granted under Part V authorizing the use of that lorry :
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,3,,,"Provided, however, that the preceding provisions of this subsection shall not prevent the issue of a licence-(a) in respect of a trailer if the licence is issued for the purpose only of authorizing the use of the trailer in the circumstances specified in subsection (3) of section 79; or(b) in respect of a tractor, if the licence is issued for the purpose only of authorizing the use of the tractor for drawing land vehicles."
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,3,a,,in respect of a trailer if the licence is issued for the purpose only of authorizing the use of the trailer in the circumstances specified in subsection (3) of section 79; or
Licences for omnibuses private coaches and lorries to be issued only to holders of operational permits,28,3,b,,"in respect of a tractor, if the licence is issued for the purpose only of authorizing the use of the tractor for drawing land vehicles."
