c1,c2,c3,c4,c5,c6
Motor vehicles not to be possessed or used without registration.,2,1,,,"No person shall possess or use a motor vehicle unless that vehicle is registered, and the person for the time being entitled to the possession of the vehicle is registered as the owner thereof, in accordance with the provisions of this Part."
Motor vehicles not to be possessed or used without registration.,2,2,,,The possession by a dealer of a motor vehicle imported by him into Sri Lanka for the purposes of sale shall be deemed not to be a contravention of subsection (1) so long as the vehicle remains unsold and is not used on any highway.
Motor vehicles not to be possessed or used without registration.,2,3,,,"The possession or use of a motor vehicle by a person for the time being entitled to the possession thereof shall be deemed not to be a contravention of subsection (1), if, but only if, the motor vehicle is lawfully used under the authority of a dealer's licence issued under Part III and is identified by a distinctive number assigned for the purpose."
Motor vehicles not to be possessed or used without registration.,2,4,,,"The possession of a motor vehicle by a person (not being a dealer) by whom the vehicle was imported into Sri Lanka shall be deemed not to be a contravention of subsection (1), if, but only if, that person has made application for the registration of that vehicle and such application has not been finally determined."
Motor vehicles not to be possessed or used without registration.,2,5,,,The use of a motor vehicle which upon importation into Sri Lanka is used on a highway only for the purpose and in the course of removal from the customs premises shall be deemed not to be a contravention of subsection (1).
Motor vehicles not to be possessed or used without registration.,2,6,,,The use of a motor vehicle while it is being driven to or from any place specified by the Registrar for the purpose of inspection or while it is being tested by the direction of the Registrar for the purpose of registration shall be deemed not to be a contravention of subsection (1)
Motor vehicles not to be possessed or used without registration.,2,7,,,The use of a motor vehicle under the authority of a visitor's temporary licence issued under Part III shall be deemed not to be a contravention of subsection (1).
Motor vehicles not to be possessed or used without registration.,2,8,,,"The possession or use by the Sri Lanka Central Transport Board or any Regional Transport Board established under the Transport Board Law of a motor coach, hiring car or a lorry shall be deemed not to be a contravention of subsection (1) so long as that coach or car or lorry is not used on any highway for the carriage of persons or goods for fee or reward."
Motor vehicles not to be registered unless they comply with certain requirements,3,1,,,"No motor vehicle shall be registered unless that vehicle complies with all the provisions of regulations made under this Act as to the construction, weight, dimensions and equipment of motor vehicles which are applicable to vehicles of the class or description to which that vehicle belongs."
Motor vehicles not to be registered unless they comply with certain requirements,3,2,,,No motor vehicle shall be registered as a private car or a hiring car if the tare of that vehicle exceeds two and one-half tons.
Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,,,No motor registered unless the person for the time being entitled to the possession of that motor coach is the holder of-(a) a stage carriage permit for a regular omnibus service; or(b) a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or(c) a private coach permit for that motor coach.
Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,a,,a stage carriage permit for a regular omnibus service; or
Prohibition of registration of motor coaches and owners thereof except in certain cases.,4,1,b,,a certificate of eligibility (granted under Part IV) for stage carriage permits for occasional omnibus services; or
