c1,c2,c3,c4,c5,c6
Permits required for lorries,79,1,,,"No lorry shall, on or after the appointed date, be used on any highway except under the authority of a permit granted by the Commissioner under this Part and for the time being in force."
Permits required for lorries,79,2,,,"The provisions of subsection (1) shall not apply to any lorry which is used by any dealer on any highway, if, but only if, it is so used under and in accordance with a dealer's licence issued under Part III."
Permits required for lorries,79,3,,,"The provisions of subsection (1) shall not apply to any trailer with a pay-load not exceeding ten hundredweight, if, but only if, it is being drawn by a private car and is being used for the carriage of goods authorized by section 178 or by regulations made under subsection (4) of that section to be carried on a private car."
Classes of goods carriage permit.,81,3,a,,a public carrier's permit; and
Classes of goods carriage permit.,81,3,b,,a private carrier's permit.
Classes of goods carriage permit.,81,1,,,"A public carrier's permit shall Authorized entitle the holder thereof to use the lorries good carriage. specified in the permit (hereinafter referred to as "" the authorized lorries "")-(a) for the carriage of goods for fee or reward, and(b) for the carriage of goods for or in connexion with his business as a carrier of goods, whether by road transport or any other means of transport, and for such storage or warehousing of goods as may be incidental to his business as a carrier; and(c) in the case of a permit held by a person carrying on a canal, dock or harbour undertaking, for the carriage of goods for or in connexion with that undertaking; and(d) for the carriage of goods of which he is the owner."
Classes of goods carriage permit.,81,1,a,,"for the carriage of goods for fee or reward, and"
Classes of goods carriage permit.,81,1,b,,"for the carriage of goods for or in connexion with his business as a carrier of goods, whether by road transport or any other means of transport, and for such storage or warehousing of goods as may be incidental to his business as a carrier; and"
Classes of goods carriage permit.,81,1,c,,"in the case of a permit held by a person carrying on a canal, dock or harbour undertaking, for the carriage of goods for or in connexion with that undertaking; and"
Classes of goods carriage permit.,81,1,d,,for the carriage of goods of which he is the owner.
Classes of goods carriage permit.,81,2,,,"A private carrier's permit shall entitle the holder thereof to use the lorries specified in the permit (hereinafter referred to as it the authorized lorries"") for the carriage of goods, otherwise than for fee or reward-(a) for or in connexion with any trade or business carried on by him and specified in the permit; or(b) for any other purpose so specified."
Classes of goods carriage permit.,81,2,a,,for or in connexion with any trade or business carried on by him and specified in the permit; or
Classes of goods carriage permit.,81,2,b,,for any other purpose so specified.
Classes of goods carriage permit.,81,3,,,"The carriage of goods, by a person engaged in any trade or business, in any case mentioned in any of the following paragraphs shall not be deemed to be carriage for fee or reward :-(a) the delivery or collection by that person, of goods sold, used or let on hire or hire-purchase in the course of that trade or business;(b) the delivery or collection, by that person of goods which have been, or are to be, subjected to a process of treatment or manufacture in the course of that trade or business ;(c) where that trade or business is that of a manufacturer, agent or dealer in any goods, the carriage of goods for demonstration purposes in a lorry;(d) where that person is a manufacturer of motor vehicles, the carriage of goods by him under and in accordance with regulations made in that behalf;(e) where that person is engaged in agriculture in any locality, the carriage by him of goods for or in connexion with the business of agriculture carried on by any other person in the same locality ; and accordingly a private carrier's permit shall be sufficient to authorize any such carriage by that person."
Classes of goods carriage permit.,81,3,a,,"the delivery or collection by that person, of goods sold, used or let on hire or hire-purchase in the course of that trade or business;"
Classes of goods carriage permit.,81,3,b,,"the delivery or collection, by that person of goods which have been, or are to be, subjected to a process of treatment or manufacture in the course of that trade or business ;"
Classes of goods carriage permit.,81,3,c,,"where that trade or business is that of a manufacturer, agent or dealer in any goods, the carriage of goods for demonstration purposes in a lorry;"
Classes of goods carriage permit.,81,3,d,,"where that person is a manufacturer of motor vehicles, the carriage of goods by him under and in accordance with regulations made in that behalf;"
Classes of goods carriage permit.,81,3,e,,"where that person is engaged in agriculture in any locality, the carriage by him of goods for or in connexion with the business of agriculture carried on by any other person in the same locality ; and accordingly a private carrier's permit shall be sufficient to authorize any such carriage by that person."
Classes of goods carriage permit.,81,4,,,"For the purposes of this Part of this Act, the performance of its functions by any department of Government, or a local authority, or any prescribed public authority, shall be deemed to be the carrying on of a trade or business."
Specification of authorized lorries in permits,82,1,,,"The Commissioner shall, at the time of the grant of a permit under this Part, specify therein, by reference to its distinctive number and such other particulars as he may consider necessary, each lorry the use of which is authorized by the permit;"
Specification of authorized lorries in permits,82,1,,,"Provided, however, that in the case of a lorry which has not been registered under Part I at the time of the grant of the permit, the Commissioner may specify that lorry by reference to such particulars as are available, and shall in any such case enter in the permit the distinctive number and other necessary particulars prior to the issue under Part III of a revenue licence for that lorry."
Specification of authorized lorries in permits,82,2,,,"No lorry shall be or be capable of being specified as an authorized lorry-(a) in any permit, unless the holder of the permit is the registered owner of that lorry, or in a case referred to in the proviso to subsection (1), the Commissioner is satisfied that the holder intends to be registered as the owner of the lorry ; or(b) in any permit, other than a short-term permit, if that lorry is already specified as an authorized lorry in any other permit, other than a short-term permit granted under this Part whether to the same or a different person"
Specification of authorized lorries in permits,82,2,a,,"in any permit, unless the holder of the permit is the registered owner of that lorry, or in a case referred to in the proviso to subsection (1), the Commissioner is satisfied that the holder intends to be registered as the owner of the lorry ; or"
Specification of authorized lorries in permits,82,2,b,,"in any permit, other than a short-term permit, if that lorry is already specified as an authorized lorry in any other permit, other than a short-term permit granted under this Part whether to the same or a different person"
Restriction of use of authorized lorries.,83,1,,,No lorry which is for the time being specified as an authorized lorry in any public carrier's permit shall be used for the carriage of goods for any purpose other than a purpose mentioned in subsection (1) of section 81.
Restriction of use of authorized lorries.,83,2,,,"Subject as hereinafter provided, no lorry which is for the time being specified as an authorized lorry in any private carrier's permit shall be used for the carriage of goods for fee or reward ;"
Restriction of use of authorized lorries.,83,2,,,"Provided, however, that the Commissioner may, in any case of emergency and subject to such conditions as he may consider necessary, authorize the holder of a private carrier's permit to use an authorized lorry for the carriage of goods for any other person to whom he lets the lorry, if the Commissioner is satisfied that the requirements of such other person cannot be conveniently met from other sources."
Duration of permits.,84,1,,,"Subject to the provisions of section 85, the period (hereinafter referred to as "" the currency period "") for which a permit under this Part shall be in force shall-(a) in the case of a public carrier's permit, be the period of two years from the date on which it is expressed to come into force; and(b) in the case of a private carrier's permit, be the period of three years from the date on which it is expressed to come into force:"
Duration of permits.,84,1,a,,"in the case of a public carrier's permit, be the period of two years from the date on which it is expressed to come into force; and"
Duration of permits.,84,1,b,,"in the case of a private carrier's permit, be the period of three years from the date on which it is expressed to come into force:"
Duration of permits.,84,1,b,,"Provided, however, that in the case of the first grant to an applicant of a permit under this Part the permit may, if the Commissioner considers it expedient for the purposes of administrative convenience, be expressed to be in force for a period exceeding or falling short of the currency period by not more than six months; and different periods may be so specified in the case of such permits granted to different applicants."
Duration of permits.,84,2,,,"In any case where before the expiration of a permit under this Part, other than a short-term permit referred to in section 85, the holder thereof applies for a permit authorizing the use of lorries for substantially the same purposes as those authorized by the existing permit, the existing permit shall continue in force until the application is finally disposed of, without prejudice, however, to the exercise in the meantime of the powers conferred by section 94."
Short-term permits.,85,1,,,"With a view to enabling lorries to be used temporarily-(a) for the purposes of a seasonal business;(b) for the purposes of the execution of a particular piece of work; or(c) for any other purpose of limited duration, the Commissioner may grant a short-term permit under this Part of any class for any period not exceeding three months."
Short-term permits.,85,1,a,,for the purposes of a seasonal business;
Short-term permits.,85,1,b,,for the purposes of the execution of a particular piece of work; or
Short-term permits.,85,1,c,,"for any other purpose of limited duration, the Commissioner may grant a short-term permit under this Part of any class for any period not exceeding three months."
Short-term permits.,85,2,,,"Where an application for a permit under this Part for the currency period is made for the first time under this Act by any person, the Commissioner, if for administrative reasons he deems it desirable so to do, may, pending the determination of the application grant to the applicant-(a) in the case of an application for a public carrier's permit, a short-term permit under this Part expressed to be in force for any period not exceeding twelve months; and(b) in the case of an application for a private carrier's permit, a short-term permit under this Part expressed to be in force for any period not exceeding three months."
Short-term permits.,85,2,a,,"in the case of an application for a public carrier's permit, a short-term permit under this Part expressed to be in force for any period not exceeding twelve months; and"
Short-term permits.,85,2,b,,"in the case of an application for a private carrier's permit, a short-term permit under this Part expressed to be in force for any period not exceeding three months."
Short-term permits.,85,2,b,,Any short-term permit granted under this subsection shall cease to be in force on the date on which the permit granted to the applicant for the currency period is expressed to come into force.
Applications for permits.,86,1,,,Every application for a permit under this Part shall be made to the Commissioner.
Applications for permits.,86,2,,,Every application for a permit under this Part for the currency period shall be made not less than three months before the date on which the applicant requires the permit to come into force.
Applications for permits.,86,3,,,"Every applicant for a permit under this Part shall submit, together with his application, a statement in such form as the Commissioner may provide for the purpose-(a) containing such particulars as may be prescribed as respects the lorries proposed to be used under the permit;(b) furnishing particulars of the area (hereinafter referred to as "" the proposed area of operation"") in which it is proposed to carry goods under the authority of the permit;(c) specifying the place or places, if any, outside the proposed area of operation, between or from or to which it is proposed to carry goods under the authority of the permit and the route or routes to be used for such carriage; and(d) in the case of an application for a public carrier's permit, specifying the facilities for the transport of goods intended to be provided for other persons under the authority of the permit."
Applications for permits.,86,3,a,,containing such particulars as may be prescribed as respects the lorries proposed to be used under the permit;
Applications for permits.,86,3,b,,"furnishing particulars of the area (hereinafter referred to as "" the proposed area of operation"") in which it is proposed to carry goods under the authority of the permit;"
Applications for permits.,86,3,c,,"specifying the place or places, if any, outside the proposed area of operation, between or from or to which it is proposed to carry goods under the authority of the permit and the route or routes to be used for such carriage; and"
Applications for permits.,86,3,d,,"in the case of an application for a public carrier's permit, specifying the facilities for the transport of goods intended to be provided for other persons under the authority of the permit."
Applications for permits.,86,4,,,"Every applicant for a permit under this Part shall furnish such other information as the Commissioner may reasonably require for the purposes of the consideration of the application and, in particular, an applicant for a public carrier's permit shall, if so required, submit in such form as the Commissioner may provide for the purpose-(a) such particulars as may be so required with respect to any business as a carrier of goods for fee or reward carried on by the applicant at any time before the making of the application and of the rates charged by him;(b) particulars of any agreement or arrangement, affecting in any material respect the provision, within the proposed area of operation, of facilities for the transport of goods for fee or reward, entered into by the applicant with any other person by whom such facilities are provided, whether within or without the area;(c) particulars of any financial interest (whether as a partner or as a shareholder or as a result of any loan, guarantee or other financial transaction) which any other person providing facilities for the transport of goods for fee or reward, or controlling (either solely or in conjunction with any other person) the business of any person who provides such facilities has in the business of the applicant, and in the case of an applicant being a company, of any right which any such person as aforesaid has to nominate any director of the company."
Applications for permits.,86,4,a,,such particulars as may be so required with respect to any business as a carrier of goods for fee or reward carried on by the applicant at any time before the making of the application and of the rates charged by him;
Applications for permits.,86,4,b,,"particulars of any agreement or arrangement, affecting in any material respect the provision, within the proposed area of operation, of facilities for the transport of goods for fee or reward, entered into by the applicant with any other person by whom such facilities are provided, whether within or without the area;"
Applications for permits.,86,4,c,,"particulars of any financial interest (whether as a partner or as a shareholder or as a result of any loan, guarantee or other financial transaction) which any other person providing facilities for the transport of goods for fee or reward, or controlling (either solely or in conjunction with any other person) the business of any person who provides such facilities has in the business of the applicant, and in the case of an applicant being a company, of any right which any such person as aforesaid has to nominate any director of the company."
