Index,Offence,Keywords
o1,Identification Plates/ On every motor vehicle there shall be fixed and maintained two identification plates each bearing the distinctive number of that motor vehicle,"identification, plates, vehicle, motor, maintained"
o2,Not carrying Revenue license,"carrying, revenue, license"
o3,Contravening revenue license provisions,"provisions, contravening, revenue, license"
o4,Driving emergency service vehicles and public service vehicles without driving license,"service, driving, vehicles, public, emergency"
o5,Driving special purpose vehicles without a license,"special, purpose, driving, vehicles, license"
o6,Driving a vehicle loaded with chemicals/hazardous  waste without a license,"waste, chemicals, hazardous, loaded, driving"
o7,Not having a license to a specific class of vehicles,"specific, class, having, vehicles, license"
o8,Not carrying Driving License when driving,"driving, carrying, license"
o9,Not having an instructor's license,"instructor, having, license"
o10,Contravening speed limits,"speed, limits, contravening"
o11,Violation of other speed limits not coming under section 140,"section, 140, coming, violation, speed"
o12,Disobeying road rules,"rules, disobeying, road"
o13,Activities obstructing control of the motor vehicle,"obstructing, activities, control, vehicle, motor"
o14,Signals by driver/ Improper signals when driving,"signals, driver, improper, driving"
o15,Reversing for a long distance,"reversing, long, distance"
o16,Sound or light warnings,"warnings, sound, light"
o17,"Excessive emission of smoke,etc","smoke, emission, excessive"
o18,Riding on running boards/ Prohibition on riding or permitting to ride on running boards,"riding, running, boards, permitting, ride"
o19,Restrictions on the Number of persons in front seats of motor vehicles,"seats, restrictions, persons, number, vehicles"
o20,Non-use of seat belts,"seat, belts, non, use"
o21,Not wearing protective helmets,"wearing, protective, helmets"
o22,Distribution of advertisements/ Prohibition to distribute of advertisements from a vehicle in  motion,"advertisements, distribution, motion, distribute, prohibition"
o23,Excessive use of noise,"noise, excessive, use"
o24,Disobeying directions and signals of police officers/Traffic wardens,"wardens, officers, police, directions, disobeying"
o25,Non-Compliance with traffic signals,"compliance, traffic, signals, non"
o26,Failure to take precautions when discharging fuel into tank,"tank, fuel, discharging, precautions, failure"
o27,Halting or parking of motor vehicles on a road,"halting, parking, road, vehicles, motor"
o28,Non-use of precaustions when parking,"precaustions, parking, non, use"
o29,Excessive carriage of persons in motor car or private coach,"private, coach, car, persons, carriage"
o30,Carriage of passengers in excess in omnibuses,"omnibuses, passengers, excess, carriage"
o31,Carriage on lorry or motor tricycle van of goods in excess,"van, tricycle, goods, lorry, excess"
o32,Number of persons carried in a lorry,"carried, lorry, persons, number"
o33,Violation of regulations on moror vehicles,"regulations, moror, violation, vehicles"
o34,Failure to carry the emission certificate or the fitness certificate,"certificate, fitness, carry, failure, emission"
o35,Shapes of identification plates,"shapes, identification, plates"
o36,Non compliace with the requirements of identification plates,"requirements, compliace, identification, non, plates"
o37,Improper fitting and unclear nuber plates,"unclear, nuber, fitting, improper, plates"
o38,Altering and misuse of number plates,"altering, misuse, number, plates"
o39,Revenue license should be displayed on motor vehicles and motor vehicles and produces when required,"vehicles, motor, produces, required, displayed"
o40,Prohibition on the use of motor vehicle contravening the provisions of revenue license,"provisions, prohibition, contravening, revenue, use"
o41,Improper use of warning instruments,"warning, instruments, improper, use"
o42,Precautions to be taken when motor vehicle is halted or left unattended or disabled on a road,"unattended, taken, halted, left, disabled"
